id,date,volume
182,2015-08-13,50629240
183,2015-08-14,44781223
184,2015-08-17,42648223
185,2015-08-18,36051444
186,2015-08-19,50369291
187,2015-08-20,71456351
188,2015-08-21,133808438
189,2015-08-24,169159067
190,2015-08-25,108070357
191,2015-08-26,100948881
192,2015-08-27,88265831
193,2015-08-28,55457595
194,2015-08-31,58654593
195,2015-09-01,80160471
196,2015-09-02,64558315
197,2015-09-03,55530094
198,2015-09-04,52152843
199,2015-09-08,57209226
200,2015-09-09,88677659
201,2015-09-10,65588130
202,2015-09-11,52068455
203,2015-09-14,60880851
204,2015-09-15,45210576
205,2015-09-16,38776840
206,2015-09-17,66878079
207,2015-09-18,77489421
208,2015-09-21,52388174
209,2015-09-22,52517731
210,2015-09-23,37299049
211,2015-09-24,52307402
212,2015-09-25,58573958
213,2015-09-28,54334671
214,2015-09-29,76529838
215,2015-09-30,69340249
216,2015-10-01,66686622
217,2015-10-02,60522325
218,2015-10-05,54302250
219,2015-10-06,50964296
220,2015-10-07,48782741
221,2015-10-08,64652927
222,2015-10-09,55008109
223,2015-10-12,31773458
224,2015-10-13,34474745
225,2015-10-14,46380294
226,2015-10-15,39298405
227,2015-10-16,40924861
228,2015-10-19,31042788
229,2015-10-20,51079941
230,2015-10-21,44152631
231,2015-10-22,43450707
232,2015-10-23,61927636
233,2015-10-26,69194942
234,2015-10-27,72898797
235,2015-10-28,89241471
236,2015-10-29,53436940
237,2015-10-30,51494522
238,2015-11-02,33585292
239,2015-11-03,47482394
240,2015-11-04,46788462
241,2015-11-05,41082805
242,2015-11-06,34320534
243,2015-11-09,35181795
244,2015-11-10,61415434
245,2015-11-11,46967285
246,2015-11-12,33783843
247,2015-11-13,47584787
248,2015-11-16,39580968
249,2015-11-17,28685340
250,2015-11-18,48480343
251,2015-11-19,44970842
252,2015-11-20,35613492
253,2015-11-23,33739180
254,2015-11-24,44451376
255,2015-11-25,22215769
256,2015-11-27,13551137
257,2015-11-30,40696103
258,2015-12-01,36200728
259,2015-12-02,34660013
260,2015-12-03,43169645
261,2015-12-04,60012168
262,2015-12-07,33325471
263,2015-12-08,35636755
264,2015-12-09,48154922
265,2015-12-10,30342878
266,2015-12-11,48700025
267,2015-12-14,67497102
268,2015-12-15,55386059
269,2015-12-16,58414146
270,2015-12-17,46504966
271,2015-12-18,100184873
272,2015-12-21,49431782
273,2015-12-22,34053824
274,2015-12-23,33920744
275,2015-12-24,14122706
276,2015-12-28,27737339
277,2015-12-29,32127908
278,2015-12-30,23107102
279,2015-12-31,40331735
280,2016-01-04,65260163
281,2016-01-05,54763789
282,2016-01-06,69848688
283,2016-01-07,79584675
284,2016-01-08,72263364
285,2016-01-11,51663692
286,2016-01-12,48788856
287,2016-01-13,63633079
288,2016-01-14,64047546
289,2016-01-15,81347795
290,2016-01-19,55141551
291,2016-01-20,72332171
292,2016-01-21,48343798
293,2016-01-22,66786882
294,2016-01-25,51552663
295,2016-01-26,62947239
296,2016-01-27,136183663
297,2016-01-28,57221872
298,2016-01-29,64001873
299,2016-02-01,39944544
300,2016-02-02,36704829
301,2016-02-03,46169095
302,2016-02-04,46932646
303,2016-02-05,44587215
304,2016-02-08,54462376
305,2016-02-09,43358326
306,2016-02-10,42513754
307,2016-02-11,47475842
308,2016-02-12,40597943
309,2016-02-16,46978971
310,2016-02-17,43799633
311,2016-02-18,38283311
312,2016-02-19,33669312
313,2016-02-22,34204278
314,2016-02-23,30704980
315,2016-02-24,35993405
316,2016-02-25,25516566
317,2016-02-26,28393158
318,2016-02-29,31134115
319,2016-03-01,50578114
320,2016-03-02,33443244
321,2016-03-03,35928675
322,2016-03-04,45219857
323,2016-03-07,33651382
324,2016-03-08,31433660
325,2016-03-09,25017401
326,2016-03-10,34622277
327,2016-03-11,26173003
328,2016-03-14,25905632
329,2016-03-15,41393259
330,2016-03-16,39570655
331,2016-03-17,35559413
332,2016-03-18,45667572
333,2016-03-21,36677182
334,2016-03-22,33517703
335,2016-03-23,26553819
336,2016-03-24,26997489
337,2016-03-28,18989484
338,2016-03-29,30594055
339,2016-03-30,45807935
340,2016-03-31,24742478
341,2016-04-01,25945411
342,2016-04-04,35942137
343,2016-04-05,25609378
344,2016-04-06,25984596
345,2016-04-07,30475096
346,2016-04-08,23790775
347,2016-04-11,27359835
348,2016-04-12,27011785
349,2016-04-13,32986760
350,2016-04-14,25034296
351,2016-04-15,45477740
352,2016-04-18,60827213
353,2016-04-19,31809676
354,2016-04-20,27283535
355,2016-04-21,30241777
356,2016-04-22,33801240
357,2016-04-25,27531875
358,2016-04-26,40792313
359,2016-04-27,112434674
360,2016-04-28,81721131
361,2016-04-29,69258022
362,2016-05-02,48928736
363,2016-05-03,57833504
364,2016-05-04,39613522
365,2016-05-05,35564617
366,2016-05-06,43943729
367,2016-05-09,31804157
368,2016-05-10,33492603
369,2016-05-11,24986431
370,2016-05-12,76624902
371,2016-05-13,43567098
372,2016-05-16,61321587
373,2016-05-17,45087968
374,2016-05-18,42224835
375,2016-05-19,30385734
376,2016-05-20,30922310
377,2016-05-23,37195696
378,2016-05-24,30438731
379,2016-05-25,35401739
380,2016-05-26,56007085
381,2016-05-27,35434339
382,2016-05-31,40046258
383,2016-06-01,28795510
384,2016-06-02,39671824
385,2016-06-03,26032342
386,2016-06-06,23399089
387,2016-06-07,21261857
388,2016-06-08,19634691
389,2016-06-09,26357497
390,2016-06-10,26692624
391,2016-06-13,36532227
392,2016-06-14,31680335
393,2016-06-15,26709300
394,2016-06-16,31329507
395,2016-06-17,56080025
396,2016-06-20,34353316
397,2016-06-21,32787026
398,2016-06-22,26879714
